lagged_diff_year_prior_v2x_elecoff,lagged_diff_year_prior_v2elembaut,lagged_v2ellocons,lagged_v2xlg_leginter,lagged_v2clslavem,lagged_v2lginvstp,lagged_diff_year_prior_v2x_neopat,lagged_v2dlconslt,lagged_is_closed_autocracy,lagged_v2x_clpriv
0.0,0.0,7,0,1.427,1.799,0.0,0.559,0,0.81
0.0,0.0,6,0,1.105,1.956,0.0,3.353,0,0.861
0.0,0.0,7,0,1.557,0.039,0.009,-0.773,1,0.705
0.0,0.0,13,0,1.353,-0.023,0.0,1.014,0,0.749
0.0,0.0,26,0,1.882,2.482,-0.0079999999999999,1.113,0,0.908
0.0,0.0,9,0,-0.096,0.588,0.0,0.2,1,0.519
0.0,0.0,16,0,1.027,0.158,0.0,0.244,0,0.46
0.0,0.0,3,0,-0.777,1.257,-0.008,1.093,1,0.506
0.0,0.0,7,0,-0.361,0.058,0.0,0.194,0,0.272
0.0,0.0,11,0,1.571,0.408,0.003,0.705,0,0.771
0.0,0.0,0,0,1.822,0.0,0.014,-0.692,1,0.523
0.0,0.0,18,0,-1.411,1.177,-0.025,0.048,1,0.487
0.0,0.0,0,0,-0.53,0.0,0.024,-2.082,1,0.2
0.0,0.0,7,0,2.059,2.166,0.0,2.384,0,0.948
0.0,0.0,3,0,-0.149,-0.592,0.001,-0.454,0,0.488
0.0,0.0,1,0,-0.215,-2.044,0.014,-0.924,0,0.216
0.0,0.0,0,0,0.575,0.0,0.0,0.744,1,0.65
0.0,0.0,1,0,1.37,-2.356,0.0,-1.868,1,0.489
0.0,0.0,0,0,0.531,0.0,0.0,-0.784,1,0.733
0.0,0.0,6,0,-2.17,-1.163,-0.003,-0.782,0,0.39
0.0,0.0,5,0,1.608,1.094,0.0,2.623,0,0.807
0.0,0.0,12,0,0.337,-2.735,-0.004,-0.159,0,0.69
0.0,0.0,7,0,-0.015,-1.1,0.0,-0.487,1,0.039
0.0,0.0,1,0,1.193,0.046,0.015,-0.526,1,0.471
0.0,0.0,0,0,-0.703,0.313,-0.018,-0.715,1,0.254
0.0,0.0,8,0,2.271,3.06,0.0,2.82,0,0.94
0.0,0.0,24,0,2.057,1.164,0.0,1.67,0,0.943
0.0,0.0,3,0,-0.005,-2.183,0.0,-2.181,0,0.318
